Magazijn,Artikel,Artikelomschrijving,Magazijnlocatie,ABC-teken,Vestiging,Artikelsoort,Goederengroep,Goed.groep omschr.
2301,1486565,"MOT-F. MK09 LA2 0,3/0,07KW N=1410/420",BU03-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486561,"MOTOR MK13-L2N1 12,5KW 1425T HOOFDHIJS",BU03-4,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486563,"MOT-F. M13-MTSB 6,5KW N=1410 BRUGTRANSP.",BU03-4,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486564,"MOT-F. MO11 MB 0,3/1,5KW N=260/1400 +REM",BU03-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486565,"MOT-F. MK09 LA2 0,3/0,07KW N=1410/420",BU03-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486563,"MOT-F. M13-MTSB 6,5KW N=1410 BRUGTRANSP.",BU03-4,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486563,"MOT-F. M13-MTSB 6,5KW N=1410 BRUGTRANSP.",BU03-4,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486563,"MOT-F. M13-MTSB 6,5KW N=1410 BRUGTRANSP.",BU03-4,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486562,"MOT-F. MO09-LTUK 1,3KW N=1250 MICROHIJS",BU03-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486561,"MOTOR MK13-L2N1 12,5KW 1425T HOOFDHIJS",BU03-4,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486565,"MOT-F. MK09 LA2 0,3/0,07KW N=1410/420",BU03-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486561,"MOTOR MK13-L2N1 12,5KW 1425T HOOFDHIJS",BU03-4,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486565,"MOT-F. MK09 LA2 0,3/0,07KW N=1410/420",BU03-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486564,"MOT-F. MO11 MB 0,3/1,5KW N=260/1400 +REM",BU03-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486564,"MOT-F. MO11 MB 0,3/1,5KW N=260/1400 +REM",BU03-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486566,TWK KONE HVM-313-1-H-448,BU02-5,,NRNX,Z00B,PM0270,Mech. Aandrijving
2301,1486566,TWK KONE HVM-313-1-H-448,BU02-5,,NRNX,Z00B,PM0270,Mech. Aandrijving
2301,1486569,TUSSENARM  KONE KRAAN L=1160MM,BU04-2,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486570,PEN KONE 100MM TEK.250234 TAMBOERHIJSJUK,BU03-3,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486567,"MOTOR ELMET MF71-A4 0,37KW 220/380V",BU03-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486568,STROOMAFNEMER AKAPP SK5-4-80,BU03-3,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486566,TWK KONE HVM-313-1-H-448,BU02-5,,NRNX,Z00B,PM0270,Mech. Aandrijving
2301,1486566,TWK KONE HVM-313-1-H-448,BU02-5,,NRNX,Z00B,PM0270,Mech. Aandrijving
2301,1486572,"POMP HAWE + MOTOR MPW34-H3,6",BU03-2,,NRNX,Z00B,PM0220,Pomp en onderdeel
2301,1486574,AS KONE L=910 D=70 KABELGELEID. UN4-T632,BU02-2,,NRNX,Z00B,PM0270,Mech. Aandrijving
2301,1486572,"POMP HAWE + MOTOR MPW34-H3,6",BU03-2,,NRNX,Z00B,PM0220,Pomp en onderdeel
2301,1486574,AS KONE L=910 D=70 KABELGELEID. UN4-T632,BU02-2,,NRNX,Z00B,PM0270,Mech. Aandrijving
2301,1486575,HIJSKABEL D=18MM L=185M KRR,BU06-4,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486571,PEN KONE 120MM TEK.250234 TAMBOERHIJSJUK,BU03-3,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486573,VENT. HAWE SWRI-W-WG220 KRONE KRANEN,BU03-2,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486572,"POMP HAWE + MOTOR MPW34-H3,6",BU03-2,,NRNX,Z00B,PM0220,Pomp en onderdeel
2301,1486572,"POMP HAWE + MOTOR MPW34-H3,6",BU03-2,,NRNX,Z00B,PM0220,Pomp en onderdeel
2301,1486574,AS KONE L=910 D=70 KABELGELEID. UN4-T632,BU02-2,,NRNX,Z00B,PM0270,Mech. Aandrijving
2301,1486574,AS KONE L=910 D=70 KABELGELEID. UN4-T632,BU02-2,,NRNX,Z00B,PM0270,Mech. Aandrijving
2301,1486580,REMSCHOEN KONE BR.=11CM KABELTROMMEL,BU03-2,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486579,REMSCHOEN KONE BR.=14CM HALFPORTAAL PM1,BU03-2,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486578,REMSET KONE EXCL. THYRISTOR 50T KRAAN,BU03-4,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486580,REMSCHOEN KONE BR.=11CM KABELTROMMEL,BU03-2,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486578,REMSET KONE EXCL. THYRISTOR 50T KRAAN,BU03-4,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486579,REMSCHOEN KONE BR.=14CM HALFPORTAAL PM1,BU03-2,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486578,REMSET KONE EXCL. THYRISTOR 50T KRAAN,BU03-4,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486578,REMSET KONE EXCL. THYRISTOR 50T KRAAN,BU03-4,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486579,REMSCHOEN KONE BR.=14CM HALFPORTAAL PM1,BU03-2,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486579,REMSCHOEN KONE BR.=14CM HALFPORTAAL PM1,BU03-2,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486577,TUSSENARM KONE ANNEX-WEST L=1060MM,BU04-2,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486576,"RELAIS ABB A12-30-10 690V-7,5KW 110VAC",1_015-09-5,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486580,REMSCHOEN KONE BR.=11CM KABELTROMMEL,BU03-2,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486580,REMSCHOEN KONE BR.=11CM KABELTROMMEL,BU03-2,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486585,SCHAK. SPOHN NS-002FR,2_029-07-5,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486582,HIJSKABEL D=24MM L=74M KRR,BU03-1,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486584,SCHAK. SPOHN NS-003FR +SCHEMA SM 7263-8,2_029-07-4,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486583,"HIJSKABEL D=14MM L=38,5M KRR",BU02-3,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486581,"KOPP. KONE KKE3 + PEN,MOEREN,RUBBER RING",3_029-05-3,,NRNX,Z00B,PM0270,Mech. Aandrijving
2301,1486589,"HIJSKABEL D=7,5MM L=46,5M KRR",BU02-2,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486586,SCHAK. SPOHN NS-004FR + SCHEMA SM 7263-9,2_029-08-3,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486588,REMSCHIJF KBH 112 2/12 BEMO KRAAN,BU03-3,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486590,KABELGELEIDER BEMO LINKS KRAAN,BU03-3,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486587,SCHAK. SPOHN NSO-03FRK +SCHEMA KS3317OP4,2_029-07-3,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486591,KABELGELEIDER BEMO RECHTS COMPL. KRAAN,BU03-3,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486595,KABELGELEIDER BEMO KRAAN FP420 H22-L2/1,BU03-3,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486593,REMSCHIJF HIJSEN 24/14-K4P BEMO KRAAN,BU03-3,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486592,REMSCHIJF KBU 71 A 8-2 BEMO KRAAN,BU03-3,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486594,HIJSKABEL D=13MM L=51M KRR GEPUNT,BU02-2,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486600,MOT-R. SEW K86A DT100LS 8/2B,BQ04-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486600,MOT-R. SEW K86A DT100LS 8/2B,BQ04-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486600,MOT-R. SEW K86A DT100LS 8/2B,BQ04-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486600,MOT-R. SEW K86A DT100LS 8/2B,BQ04-2,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486596,REMSCHIJF BEMO KATRIJDEN KRAAN KBF80A8-2,BU03-3,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486598,"HIJSKABEL D=14MM L=44,3M KRR",BU02-2,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486597,REMSCHIJF BEMO KRAANRIJDEN KRAAN KBF90A8,BU03-3,,NRNX,Z00B,PM0360,Rem apparatuur
2301,1486599,"KABELGELEIDERING BEMO DH 300 H11,011MM",BU03-3,,NRNX,Z00B,PM0050,"Electr. Kabel,goot+a"
2301,1486601,MOTOR KONE KABELHASPEL SPANNER,BU02-1,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486601,MOTOR KONE KABELHASPEL SPANNER,BU02-1,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486605,"PT100 SENSOR L=660MM. + 2,5M KABEL",1_043-07-1,,NRNX,Z00B,PM0120,Meet en Regel App.
2301,1486603,KETTINGWIEL DUPLEX Z=25 D=115MM RSU500V1,BU03-3,,NRNX,Z00B,PM0270,Mech. Aandrijving
2301,1486604,TRANSPORTWIEL KONE D=340 D=110 BR.=80,BU03-3,,NRNX,Z00B,PM0450,Hefwerktuig
2301,1486602,KETTINGWIEL DUPLEX Z=25 D=60MM 16B2-SFS,BU03-3,,NRNX,Z00B,PM0270,Mech. Aandrijving
2301,1486601,MOTOR KONE KABELHASPEL SPANNER,BU02-1,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486601,MOTOR KONE KABELHASPEL SPANNER,BU02-1,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
2301,1486606,PRINT DANFOSS 175-F0027 REMMODUUL,3_059-04-4,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486607,HYDR.CIL. REXROTH CDM1-MP5/63/36/125A41B,K03-3,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486610,HYDR.CIL. MECMAN 206/80/300/45,K03-2,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486606,PRINT DANFOSS 175-F0027 REMMODUUL,3_059-04-4,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486607,HYDR.CIL. REXROTH CDM1-MP5/63/36/125A41B,K03-3,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486608,HYDR.CIL. REXROTH CDM1-MP5/63/36/200A1X,K03-3,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486610,HYDR.CIL. MECMAN 206/80/300/45,K03-2,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486608,HYDR.CIL. REXROTH CDM1-MP5/63/36/200A1X,K03-3,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486609,HYDR.CIL. REXROTH CDM1-MP5 63/36/250,K02-4,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486609,HYDR.CIL. REXROTH CDM1-MP5 63/36/250,K02-4,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486607,HYDR.CIL. REXROTH CDM1-MP5/63/36/125A41B,K03-3,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486607,HYDR.CIL. REXROTH CDM1-MP5/63/36/125A41B,K03-3,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486610,HYDR.CIL. MECMAN 206/80/300/45,K03-2,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486610,HYDR.CIL. MECMAN 206/80/300/45,K03-2,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486606,PRINT DANFOSS 175-F0027 REMMODUUL,3_059-04-4,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486606,PRINT DANFOSS 175-F0027 REMMODUUL,3_059-04-4,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486609,HYDR.CIL. REXROTH CDM1-MP5 63/36/250,K02-4,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486609,HYDR.CIL. REXROTH CDM1-MP5 63/36/250,K02-4,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486608,HYDR.CIL. REXROTH CDM1-MP5/63/36/200A1X,K03-3,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486608,HYDR.CIL. REXROTH CDM1-MP5/63/36/200A1X,K03-3,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486612,HYDR.CIL. MECMAN 206/100/320/56,K03-1,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486611,HYDR.CIL. MECMAN 206/80/600/45 MP6,K03-1,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486612,HYDR.CIL. MECMAN 206/100/320/56,K03-1,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486613,HYDR.CIL. REXROTH MP5-100.56.800DM01CC,K02-5,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486611,HYDR.CIL. MECMAN 206/80/600/45 MP6,K03-1,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486613,HYDR.CIL. REXROTH MP5-100.56.800DM01CC,K02-5,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486611,HYDR.CIL. MECMAN 206/80/600/45 MP6,K03-1,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486611,HYDR.CIL. MECMAN 206/80/600/45 MP6,K03-1,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486615,"VENT. NORGREN 3/2 V61B313A-A319J 1/4"".",1_052-07-4,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486613,HYDR.CIL. REXROTH MP5-100.56.800DM01CC,K02-5,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486613,HYDR.CIL. REXROTH MP5-100.56.800DM01CC,K02-5,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486614,"VENT. NORGREN 5/2 V60A511A-A319J 1/8""",1_052-08-6,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486612,HYDR.CIL. MECMAN 206/100/320/56,K03-1,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486612,HYDR.CIL. MECMAN 206/100/320/56,K03-1,,NRNX,Z00B,PM0170,Hydraulische App.
2301,1486617,VENT. VICKERS ECT5-10C-0B-MU-C7-20TB,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486618,VENT. VICKERS ECT5-06F-0B-MU-C7-20TB,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486617,VENT. VICKERS ECT5-10C-0B-MU-C7-20TB,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486618,VENT. VICKERS ECT5-06F-0B-MU-C7-20TB,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486619,VENT. VICKERS 4/3 DG4V3-0C-MU-C6-60,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486616,"VENT. NORGREN 3/2 DM39N 1/8""",1_052-10-8,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486620,VENT. VICKERS 4/3 DG4V3-2C-MU-C6-60,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486617,VENT. VICKERS ECT5-10C-0B-MU-C7-20TB,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486617,VENT. VICKERS ECT5-10C-0B-MU-C7-20TB,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486618,VENT. VICKERS ECT5-06F-0B-MU-C7-20TB,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486618,VENT. VICKERS ECT5-06F-0B-MU-C7-20TB,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486621,VENT. VICKERS REDUCEER DGMX23-PP-CW-B40,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486624,VENT. VICKERS DGMFN-5-Y-A2W-B2W-30,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486625,VENT. VICKERS REDUCEER XG2-V6-CW-10,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486621,VENT. VICKERS REDUCEER DGMX23-PP-CW-B40,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486624,VENT. VICKERS DGMFN-5-Y-A2W-B2W-30,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486625,VENT. VICKERS REDUCEER XG2-V6-CW-10,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486622,KLEP VICKERS DGMPC-3-ABK-21,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486623,VENT. VICKERS DGMFN3-YA2W-B2W-41,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486621,VENT. VICKERS REDUCEER DGMX23-PP-CW-B40,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486621,VENT. VICKERS REDUCEER DGMX23-PP-CW-B40,H01-3,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486624,VENT. VICKERS DGMFN-5-Y-A2W-B2W-30,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486624,VENT. VICKERS DGMFN-5-Y-A2W-B2W-30,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486625,VENT. VICKERS REDUCEER XG2-V6-CW-10,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486625,VENT. VICKERS REDUCEER XG2-V6-CW-10,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486626,VENT. VICKERS 4/2 KFDG4V5-2C-7ON-Z-VM @,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486628,VENT. ABS BALANCEER VODL-ML-10-12,I01-4,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486629,VENT. VICKERS REDUCEER DGMC-3-PT-CW-30,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486630,POMP VICKERS WP09A1B110R03BA121N,G03-5,,NRNX,Z00B,PM0220,Pomp en onderdeel
2301,1486627,PRINT VICKERS KTG1-5A-AR-614 868-10,1_129-07-5,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486626,VENT. VICKERS 4/2 KFDG4V5-2C-7ON-Z-VM @,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486628,VENT. ABS BALANCEER VODL-ML-10-12,I01-4,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486629,VENT. VICKERS REDUCEER DGMC-3-PT-CW-30,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486630,POMP VICKERS WP09A1B110R03BA121N,G03-5,,NRNX,Z00B,PM0220,Pomp en onderdeel
2301,1486627,PRINT VICKERS KTG1-5A-AR-614 868-10,1_129-07-5,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486626,VENT. VICKERS 4/2 KFDG4V5-2C-7ON-Z-VM @,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486626,VENT. VICKERS 4/2 KFDG4V5-2C-7ON-Z-VM @,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486628,VENT. ABS BALANCEER VODL-ML-10-12,I01-4,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486628,VENT. ABS BALANCEER VODL-ML-10-12,I01-4,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486629,VENT. VICKERS REDUCEER DGMC-3-PT-CW-30,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486629,VENT. VICKERS REDUCEER DGMC-3-PT-CW-30,H01-5,,NRNX,Z00B,PM0200,Afsluiter en kraan
2301,1486630,POMP VICKERS WP09A1B110R03BA121N,G03-5,,NRNX,Z00B,PM0220,Pomp en onderdeel
2301,1486630,POMP VICKERS WP09A1B110R03BA121N,G03-5,,NRNX,Z00B,PM0220,Pomp en onderdeel
2301,1486627,PRINT VICKERS KTG1-5A-AR-614 868-10,1_129-07-5,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486627,PRINT VICKERS KTG1-5A-AR-614 868-10,1_129-07-5,,NRNX,Z00B,PM0040,Electronische Comp.
2301,1486633,"MOT-R. SEW FA77 DRS90M4BE2HR 1,5KW N2=21",BQ05-4,,NRNX,Z00B,PM0110,Elec.Motors&Onderd
